"","hid","SpeciesName","Abundance","regency","village","pid","crop","wave"
"1",12,"Endospermum diadenum","3","Sarolangun","Pematang Kolim",1,"Rubber",2018
"2",12,"Sauropus androgynus","6","Sarolangun","Pematang Kolim",1,"Rubber",2018
"3",12,"Rothmannia macrophylla","1","Sarolangun","Pematang Kolim",1,"Rubber",2018
"4",12,"Macaranga bancana","1","Sarolangun","Pematang Kolim",1,"Rubber",2018
"5",12,"Melastoma malabathricum","6","Sarolangun","Pematang Kolim",1,"Rubber",2018
"6",12,"Rolandra fruticosa","8","Sarolangun","Pematang Kolim",1,"Rubber",2018
"7",12,"Scleria ciliaris","45","Sarolangun","Pematang Kolim",1,"Rubber",2018
"8",12,"Taenitis blechnoides","6","Sarolangun","Pematang Kolim",1,"Rubber",2018
"9",12,"Tetracera indica","1","Sarolangun","Pematang Kolim",1,"Rubber",2018
"10",12,"Leptaspis urceolata","23","Sarolangun","Pematang Kolim",1,"Rubber",2018
"11",12,"Cyrtococcum patens","232","Sarolangun","Pematang Kolim",1,"Rubber",2018
"12",12,"Asystasia gangetica","12","Sarolangun","Pematang Kolim",1,"Rubber",2018
"13",12,"Clidemia hirta","76","Sarolangun","Pematang Kolim",1,"Rubber",2018
"14",12,"Dicranopteris linearis","12","Sarolangun","Pematang Kolim",1,"Rubber",2018
"15",12,"Uncaria Cordata","4","Sarolangun","Pematang Kolim",1,"Rubber",2018
"16",12,"Lindsaea ensifolia","12","Sarolangun","Pematang Kolim",1,"Rubber",2018
"17",12,"LN: Pulai","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"18",12,"Hevea Brasiliensis","7","Sarolangun","Pematang Kolim",1,"Rubber",2018
"19",15,"Jengkol ","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"20",15,"Lindsaea ensifolia","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"21",15,"Tumbuhan Paku","30","Sarolangun","Pematang Kolim",1,"Rubber",2018
"22",15,"Clidemia hirta","62","Sarolangun","Pematang Kolim",1,"Rubber",2018
"23",15,"MS: Mirip Karet","206","Sarolangun","Pematang Kolim",1,"Rubber",2018
"24",15,"Asystasia gangetica","2","Sarolangun","Pematang Kolim",1,"Rubber",2018
"25",22,"Clidemia hirta","12","Sarolangun","Pematang Kolim",3,"Rubber",2018
"26",22,"Asystasia gangetica","20","Sarolangun","Pematang Kolim",3,"Rubber",2018
"27",22,"Melastoma malabathricum","35","Sarolangun","Pematang Kolim",3,"Rubber",2018
"28",22,"Dicranopteris linearis","3","Sarolangun","Pematang Kolim",3,"Rubber",2018
"29",22,"Lindsaea ensifolia","2","Sarolangun","Pematang Kolim",3,"Rubber",2018
"30",22,"LN: Cabe-cabean","1","Sarolangun","Pematang Kolim",3,"Rubber",2018
"31",22,"Scleria ciliaris","33","Sarolangun","Pematang Kolim",3,"Rubber",2018
"32",22,"Vittaria ensiformis","7","Sarolangun","Pematang Kolim",3,"Rubber",2018
"33",22,"Centotheca lappacea","120","Sarolangun","Pematang Kolim",3,"Rubber",2018
"34",22,"Daun Hati","55","Sarolangun","Pematang Kolim",3,"Rubber",2018
"35",22,"Paspalum dilatatum","55","Sarolangun","Pematang Kolim",3,"Rubber",2018
"36",22,"MS: Mirip Karet","57","Sarolangun","Pematang Kolim",3,"Rubber",2018
"37",25,"Clidemia hirta","231","Sarolangun","Batu Putih",3,"Rubber",2018
"38",25,"Dicranopteris linearis","76","Sarolangun","Batu Putih",3,"Rubber",2018
"39",25,"Axonopus compressus","73","Sarolangun","Batu Putih",3,"Rubber",2018
"40",25,"LN: Paku rambat keriting","164","Sarolangun","Batu Putih",3,"Rubber",2018
"41",25,"Melastoma malabathricum","64","Sarolangun","Batu Putih",3,"Rubber",2018
"42",25,"Goniophlebium verrucosum","21","Sarolangun","Batu Putih",3,"Rubber",2018
"43",25,"Lindsaea ensifolia","6","Sarolangun","Batu Putih",3,"Rubber",2018
"44",25,"Mirip Sellaginela","54","Sarolangun","Batu Putih",3,"Rubber",2018
"45",25,"Cyrtococcum patens","81","Sarolangun","Batu Putih",3,"Rubber",2018
"46",29,"Lindsaea ensifolia","83","Sarolangun","Batu Putih",1,"Rubber",2018
"47",29,"Melastoma malabathricum","12","Sarolangun","Batu Putih",1,"Rubber",2018
"48",29,"Dicranopteris linearis","328","Sarolangun","Batu Putih",1,"Rubber",2018
"49",29,"Scleria ciliaris","35","Sarolangun","Batu Putih",1,"Rubber",2018
